cve_ent,nom_ent,fecha_publica,fecha_inicio,fecha_fin,color_sem,nivel
32,Zacatecas,14/08/2020,17/08/2020,30/08/2020,Rojo,Máximo
1,Aguascalientes,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
2,Baja California,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
3,Baja California Sur,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
4,Campeche,28/08/2020,31/08/2020,13/09/2020,Amarillo,Medio
5,Coahuila de Zaragoza,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
6,Colima,28/08/2020,31/08/2020,13/09/2020,Rojo,Máximo
7,Chiapas,28/08/2020,31/08/2020,13/09/2020,Amarillo,Medio
8,Chihuahua,28/08/2020,31/08/2020,13/09/2020,Amarillo,Medio
9,Ciudad de México,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
10,Durango,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
11,Guanajuato,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
12,Guerrero,28/08/2020,31/08/2020,13/09/2020,Amarillo,Medio
13,Hidalgo,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
14,Jalisco,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
15,México,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
16,Michoacán de Ocampo,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
17,Morelos,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
18,Nayarit,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
19,Nuevo León,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
20,Oaxaca,28/08/2020,31/08/2020,13/09/2020,Amarillo,Medio
21,Puebla,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
22,Querétaro,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
23,Quintana Roo,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
24,San Luis Potosí,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
25,Sinaloa,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
26,Sonora,28/08/2020,31/08/2020,13/09/2020,Amarillo,Medio
27,Tabasco,28/08/2020,31/08/2020,13/09/2020,Amarillo,Medio
28,Tamaulipas,28/08/2020,31/08/2020,13/09/2020,Amarillo,Medio
29,Tlaxcala,28/08/2020,31/08/2020,13/09/2020,Amarillo,Medio
